C21,C22
1,0
40,1
17,2
43,3
39,4
34,5
47,6
29,7
42,8
35,9
49,10
20,11
4,12
30,13
27,14
10,15
18,16
12,17
9,18
32,18
2,19
13,20
15,21
28,22
26,23
3,25
21,24
11,26
14,27
38,28
36,29
24,30
51,31
45,32
16,33
50,34
52,35
48,36
0,37
22,38
24,11
24,17
25,22
34,1
35,7
13,6
13,12
11,27
35,44
39,19
37,30
21,15
6,16
38,20
30,29
0,50
2,48
5,45
5,0
2,36
0,24
1,37
19,38
16,27
3,35
3,19
36,13
26,47
15,51
16,40
23,26
19,8
11,33
17,21
7,2
31,16
8,41
12,9
4,14
28,34
28,25
4,49
9,23
12,39
14,5
20,28
22,43
27,4
29,46
32,3
33,42
18,31
33,11
35,45
32,43
39,39
18,34
23,47
6,48
33,4
16,1
14,11
4,21
38,36
11,38
30,42
17,46
5,14
9,49
1,7
0,29
27,37
10,27
19,10
21,9
29,44
34,26
2,28
13,23
25,2
15,5
36,6
20,8
8,40
26,13
28,51
22,50
24,0
3,30
12,25
37,32
31,16
7,24
35,41
32,12
39,20
18,15
23,3
6,17
33,19
16,18
14,31
4,35
38,33
11,22
10,27
35,27
10,45
35,46
22,36
20,44
21,39
4,19
34,3
11,7
14,40
33,9
31,4
23,37
28,50
32,45
36,35
0,10
29,12
25,5
12,43
18,41
27,1
37,49
30,31
15,26
1,32
7,8
2,17
6,23
24,13
13,24
39,33
38,15
26,0
8,11
5,6
16,21
3,51
17,18
9,47
19,28
10,34
35,29
22,16
20,48
21,25
4,22
34,42
11,20
14,14
33,27
31,2
23,38
28,30
